date,mean,month,name,year,bridge,bwidth,pp open,burning,elnino,provincelight,pixellight,rain,temperature,road.freight,road.passengers
2019-03-01T00:00:00,259.9249878,3,Can Tho,2019,1,23.1,3,1,1,17.16414658,11.11111111,13.1,28.6,,
2019-04-01T00:00:00,264.6199951,4,Can Tho,2019,1,23.1,3,0,1,17.16414658,11.11111111,60.7,29.9,,
2019-05-01T00:00:00,279.5750122,5,Can Tho,2019,1,23.1,3,0,1,17.16414658,11.11111111,205.4,29.5,,
2019-06-01T00:00:00,276.7999878,6,Can Tho,2019,1,23.1,3,0,1,17.16414658,11.11111111,444.8,28.5,,
2019-07-01T00:00:00,270.3571472,7,Can Tho,2019,1,23.1,3,0,0,17.16414658,11.11111111,242.2,28.2,,
2019-08-01T00:00:00,269.5499878,8,Can Tho,2019,1,23.1,3,1,0,17.16414658,11.11111111,464.5,27.6,,
2019-09-01T00:00:00,261.9249878,9,Can Tho,2019,1,23.1,3,1,0,17.16414658,11.11111111,302.5,27.9,,
2019-10-01T00:00:00,268.6333313,10,Can Tho,2019,1,23.1,3,1,0,17.16414658,11.11111111,269.5,27.9,,
2019-11-01T00:00:00,255.9750061,11,Can Tho,2019,1,23.1,3,0,0,17.16414658,11.11111111,110.1,27.8,,
2019-12-01T00:00:00,250.3166656,12,Can Tho,2019,1,23.1,3,0,0,17.16414658,11.11111111,0,26.5,,
2007-01-01T00:00:00,239.5941162,1,Cao Lanh,2007,0,24.5,1,0,1,5.601521694,5,38,26.1,"1,346.00",19.2
2007-02-01T00:00:00,246.1944427,2,Cao Lanh,2007,0,24.5,1,1,0,5.601521694,5,0,26.4,"1,346.00",19.2
2007-03-01T00:00:00,247.854538,3,Cao Lanh,2007,0,24.5,1,1,0,5.601521694,5,39,27.9,"1,346.00",19.2
2007-04-01T00:00:00,263.6000061,4,Cao Lanh,2007,0,24.5,1,0,0,5.601521694,5,86,29.2,"1,346.00",19.2
2007-05-01T00:00:00,270.18573,5,Cao Lanh,2007,0,24.5,1,0,0,5.601521694,5,174,28.4,"1,346.00",19.2
2007-06-01T00:00:00,268,6,Cao Lanh,2007,0,24.5,1,0,0,5.601521694,5,322,28.3,"1,346.00",19.2
2007-07-01T00:00:00,263.6000061,7,Cao Lanh,2007,0,24.5,1,0,0,5.601521694,5,421,27.3,"1,346.00",19.2
2007-08-01T00:00:00,263.1833496,8,Cao Lanh,2007,0,24.5,1,1,0,5.601521694,5,371,27.4,"1,346.00",19.2
2007-09-01T00:00:00,266.1400146,9,Cao Lanh,2007,0,24.5,1,1,0,5.601521694,5,307,27.5,"1,346.00",19.2
2007-10-01T00:00:00,255.4900055,10,Cao Lanh,2007,0,24.5,1,1,0,5.601521694,5,508,27.1,"1,346.00",19.2
2007-11-01T00:00:00,248.6692352,11,Cao Lanh,2007,0,24.5,1,0,0,5.601521694,5,339,26.6,"1,346.00",19.2
2007-12-01T00:00:00,239.5066681,12,Cao Lanh,2007,0,24.5,1,0,0,5.601521694,5,1,26.9,"1,346.00",19.2
2008-01-01T00:00:00,239.8000031,1,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,113,26.2,"1,091.00",20.4
2008-02-01T00:00:00,247.3416748,2,Cao Lanh,2008,0,24.5,1,1,0,5.103625998,5,8,26.5,"1,091.00",20.4
2008-03-01T00:00:00,249.577774,3,Cao Lanh,2008,0,24.5,1,1,0,5.103625998,5,0,27.3,"1,091.00",20.4
2008-04-01T00:00:00,270.3800049,4,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,94,28.7,"1,091.00",20.4
2008-05-01T00:00:00,276.0400085,5,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,272,27.9,"1,091.00",20.4
2008-06-01T00:00:00,276.1499939,6,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,381,27.7,"1,091.00",20.4
2008-07-01T00:00:00,276.9285583,7,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,332,27.4,"1,091.00",20.4
2008-08-01T00:00:00,277.2999878,8,Cao Lanh,2008,0,24.5,1,1,0,5.103625998,5,260,27.4,"1,091.00",20.4
2008-09-01T00:00:00,272.8800049,9,Cao Lanh,2008,0,24.5,1,1,0,5.103625998,5,429,27,"1,091.00",20.4
2008-10-01T00:00:00,266.6499939,10,Cao Lanh,2008,0,24.5,1,1,0,5.103625998,5,348,27.2,"1,091.00",20.4
2008-11-01T00:00:00,253.2714233,11,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,270,26.7,"1,091.00",20.4
2008-12-01T00:00:00,247.4899902,12,Cao Lanh,2008,0,24.5,1,0,0,5.103625998,5,172,26.2,"1,091.00",20.4
2009-01-01T00:00:00,246.1999969,1,Cao Lanh,2009,0,24.5,1,0,0,4.524738305,3.5,22.7,25.1,929,17.5
2009-02-01T00:00:00,239.9666748,2,Cao Lanh,2009,0,24.5,1,1,0,4.524738305,3.5,101.3,26.7,929,17.5
