date,mean,month,quarter,name,year,bridge,Ferry
2015-12-01T00:00:00,244.6931818,12,4,Cao Lanh,2015,0,1
2016-01-01T00:00:00,384.1166667,1,1,Cao Lanh,2016,0,1
2016-02-01T00:00:00,499.2426471,2,1,Cao Lanh,2016,0,1
2016-03-01T00:00:00,636,3,1,Cao Lanh,2016,0,1
2016-04-01T00:00:00,579.6287879,4,2,Cao Lanh,2016,0,1
2016-05-01T00:00:00,184.6,5,2,Cao Lanh,2016,0,1
2016-06-01T00:00:00,411.5,6,2,Cao Lanh,2016,0,1
2016-07-01T00:00:00,322,7,3,Cao Lanh,2016,0,1
2016-08-01T00:00:00,283.25,8,3,Cao Lanh,2016,0,1
2016-09-01T00:00:00,,9,3,Cao Lanh,2016,0,1
2016-10-01T00:00:00,,10,4,Cao Lanh,2016,0,1
2016-11-01T00:00:00,290,11,4,Cao Lanh,2016,0,1
2016-12-01T00:00:00,488,12,4,Cao Lanh,2016,0,1
2017-01-01T00:00:00,321.2857143,1,1,Cao Lanh,2017,0,1
2017-02-01T00:00:00,301.5178571,2,1,Cao Lanh,2017,0,1
2017-03-01T00:00:00,432.5,3,1,Cao Lanh,2017,0,1
2017-04-01T00:00:00,346.9285714,4,2,Cao Lanh,2017,0,1
2017-05-01T00:00:00,553,5,2,Cao Lanh,2017,0,1
2017-06-01T00:00:00,418,6,2,Cao Lanh,2017,0,1
2017-07-01T00:00:00,294.5,7,3,Cao Lanh,2017,0,1
2017-08-01T00:00:00,402.5,8,3,Cao Lanh,2017,0,1
2017-09-01T00:00:00,20,9,3,Cao Lanh,2017,0,1
2017-10-01T00:00:00,448.25,10,4,Cao Lanh,2017,0,1
2017-11-01T00:00:00,298,11,4,Cao Lanh,2017,0,1
2017-12-01T00:00:00,214.2321429,12,4,Cao Lanh,2017,0,1
2018-01-01T00:00:00,423.8333333,1,1,Cao Lanh,2018,0,1
2018-02-01T00:00:00,552.9857143,2,1,Cao Lanh,2018,0,1
2018-03-01T00:00:00,536.6190476,3,1,Cao Lanh,2018,0,1
2018-04-01T00:00:00,429.75,4,2,Cao Lanh,2018,0,1
2018-05-01T00:00:00,435.1666667,5,2,Cao Lanh,2018,1,1
2018-06-01T00:00:00,282.5,6,2,Cao Lanh,2018,1,1
2018-07-01T00:00:00,,7,3,Cao Lanh,2018,1,1
2018-08-01T00:00:00,388.5,8,3,Cao Lanh,2018,1,1
2018-09-01T00:00:00,895,9,3,Cao Lanh,2018,1,1
2018-10-01T00:00:00,394.1666667,10,4,Cao Lanh,2018,1,1
2018-11-01T00:00:00,479.3333333,11,4,Cao Lanh,2018,1,1
2018-12-01T00:00:00,227.25,12,4,Cao Lanh,2018,1,1
2019-01-01T00:00:00,441.6444444,1,1,Cao Lanh,2019,1,1
2019-02-01T00:00:00,427.7130682,2,1,Cao Lanh,2019,1,1
