date,NO2,month,name,year,bridge,dmonth
2010-06-01T00:00:00,168,6,Rach Mieu,2010,1,5
2010-06-01T00:00:00,172,6,My Thuan,2010,1,5
2010-06-01T00:00:00,143,6,Vam Cong,2010,0,5
2010-06-01T00:00:00,148,6,Cao Lanh,2010,0,5
2010-06-01T00:00:00,206,6,My Loi,2010,0,5
2010-07-01T00:00:00,114,7,Can Tho,2010,1,6
2010-07-01T00:00:00,134,7,Co Chien,2010,0,6
2010-07-01T00:00:00,148,7,Ham Luong,2010,0,6
2010-07-01T00:00:00,209,7,Rach Mieu,2010,1,6
2010-07-01T00:00:00,194,7,My Thuan,2010,1,6
2010-07-01T00:00:00,173,7,Vam Cong,2010,0,6
2010-07-01T00:00:00,141,7,Cao Lanh,2010,0,6
2010-07-01T00:00:00,159,7,My Loi,2010,0,6
2010-08-01T00:00:00,105,8,Can Tho,2010,1,7
2010-08-01T00:00:00,137,8,Co Chien,2010,0,7
2010-08-01T00:00:00,164,8,Ham Luong,2010,0,7
2010-08-01T00:00:00,120,8,Rach Mieu,2010,1,7
2010-08-01T00:00:00,118,8,My Thuan,2010,1,7
2010-08-01T00:00:00,110,8,Vam Cong,2010,0,7
2010-08-01T00:00:00,114,8,Cao Lanh,2010,0,7
2010-08-01T00:00:00,156,8,My Loi,2010,0,7
2010-09-01T00:00:00,130,9,Can Tho,2010,1,8
2010-09-01T00:00:00,124,9,Co Chien,2010,0,8
2010-09-01T00:00:00,172,9,Ham Luong,2010,0,8
2010-09-01T00:00:00,213,9,Rach Mieu,2010,1,8
2010-09-01T00:00:00,229,9,My Thuan,2010,1,8
2010-09-01T00:00:00,136,9,Vam Cong,2010,0,8
2010-09-01T00:00:00,124,9,Cao Lanh,2010,0,8
2010-09-01T00:00:00,243,9,My Loi,2010,0,8
2010-10-01T00:00:00,124,10,Can Tho,2010,1,9
2010-10-01T00:00:00,227,10,Co Chien,2010,0,9
2010-10-01T00:00:00,176,10,Ham Luong,2010,0,9
2010-10-01T00:00:00,144,10,Rach Mieu,2010,1,9
2010-10-01T00:00:00,103,10,My Thuan,2010,1,9
2010-10-01T00:00:00,126,10,Vam Cong,2010,0,9
2010-10-01T00:00:00,120,10,Cao Lanh,2010,0,9
2010-10-01T00:00:00,210,10,My Loi,2010,0,9
2010-11-01T00:00:00,172,11,Can Tho,2010,1,10
2010-11-01T00:00:00,147,11,Co Chien,2010,0,10
2010-11-01T00:00:00,166,11,Ham Luong,2010,0,10
2010-11-01T00:00:00,152,11,Rach Mieu,2010,1,10
2010-11-01T00:00:00,140,11,My Thuan,2010,1,10
2010-11-01T00:00:00,93,11,Vam Cong,2010,0,10
2010-11-01T00:00:00,86,11,Cao Lanh,2010,0,10
2010-11-01T00:00:00,243,11,My Loi,2010,0,10
2010-12-01T00:00:00,135,12,Can Tho,2010,1,11
2010-12-01T00:00:00,169,12,Co Chien,2010,0,11
2010-12-01T00:00:00,165,12,Ham Luong,2010,0,11
2010-12-01T00:00:00,145,12,Rach Mieu,2010,1,11
2010-12-01T00:00:00,148,12,My Thuan,2010,1,11
2010-12-01T00:00:00,111,12,Vam Cong,2010,0,11
