date,mean,month,quarter,name,year,bridge,ferry
2013-12-01T00:00:00,277.1087103,12,4,Cao Lanh,2013,0,1
2014-01-01T00:00:00,289.6497308,1,1,Cao Lanh,2014,0,1
2014-02-01T00:00:00,404.2168887,2,1,Cao Lanh,2014,0,1
2014-03-01T00:00:00,333.6815022,3,1,Cao Lanh,2014,0,1
2014-04-01T00:00:00,286.7100658,4,2,Cao Lanh,2014,0,1
2014-05-01T00:00:00,260.2209657,5,2,Cao Lanh,2014,0,1
2014-06-01T00:00:00,203.0064974,6,2,Cao Lanh,2014,0,1
2014-07-01T00:00:00,309.9351415,7,3,Cao Lanh,2014,0,1
2014-08-01T00:00:00,262.4106591,8,3,Cao Lanh,2014,0,1
2014-09-01T00:00:00,303.6737685,9,3,Cao Lanh,2014,0,1
2014-10-01T00:00:00,450.9270172,10,4,Cao Lanh,2014,0,1
2014-11-01T00:00:00,292.7733454,11,4,Cao Lanh,2014,0,1
2014-12-01T00:00:00,119.7040286,12,4,Cao Lanh,2014,0,1
2015-01-01T00:00:00,384.0172486,1,1,Cao Lanh,2015,0,1
2015-02-01T00:00:00,272.699176,2,1,Cao Lanh,2015,0,1
2015-03-01T00:00:00,473.0035679,3,1,Cao Lanh,2015,0,1
2015-04-01T00:00:00,481.2680658,4,2,Cao Lanh,2015,0,1
2015-05-01T00:00:00,247.817624,5,2,Cao Lanh,2015,0,1
2015-06-01T00:00:00,296.6278228,6,2,Cao Lanh,2015,0,1
2015-07-01T00:00:00,379.0897099,7,3,Cao Lanh,2015,0,1
2015-08-01T00:00:00,228.6094371,8,3,Cao Lanh,2015,0,1
2015-09-01T00:00:00,352.2085788,9,3,Cao Lanh,2015,0,1
2015-10-01T00:00:00,580.5797357,10,4,Cao Lanh,2015,0,1
2015-11-01T00:00:00,256.2678203,11,4,Cao Lanh,2015,0,1
2015-12-01T00:00:00,185.2083535,12,4,Cao Lanh,2015,0,1
2016-01-01T00:00:00,274.0641215,1,1,Cao Lanh,2016,0,1
2016-02-01T00:00:00,358.4994755,2,1,Cao Lanh,2016,0,1
2016-03-01T00:00:00,467.675374,3,1,Cao Lanh,2016,0,1
2016-04-01T00:00:00,389.7165852,4,2,Cao Lanh,2016,0,1
2016-05-01T00:00:00,189.6609118,5,2,Cao Lanh,2016,0,1
2016-06-01T00:00:00,310.7148103,6,2,Cao Lanh,2016,0,1
2016-07-01T00:00:00,344.6131006,7,3,Cao Lanh,2016,0,1
2016-08-01T00:00:00,244.8580633,8,3,Cao Lanh,2016,0,1
2016-09-01T00:00:00,347.6099815,9,3,Cao Lanh,2016,0,1
2016-10-01T00:00:00,,10,4,Cao Lanh,2016,0,1
2016-11-01T00:00:00,189.9795655,11,4,Cao Lanh,2016,0,1
2016-12-01T00:00:00,256.75,12,4,Cao Lanh,2016,0,1
